spanish,romaji
Como sushi,sushi o tabemasu
Bebo agua,mizu o nomimasu
Voy al dojo,doujou ni ikimasu
Vengo mañana,ashita kimasu
Vuelvo a casa,ie ni kaerimasu
Veo la televisión,terebi o mimasu
Escucho música,ongaku o kikimasu
Hablo japonés,nihongo o hanashimasu
Lo digo en japonés,nihongo de iimasu
Hago karate,karate o shimasu
Practico karate,karate o renshuu shimasu
Trabajo en casa,ie de hatarakimasu
Duermo pronto,hayaku nemasu
Me levanto a las siete,shichi-ji ni okimasu
Compro esto,kore o kaimasu
Espero aquí,koko de machimasu
Entiendo japonés,nihongo ga wakarimasu
No lo entiendo,wakarimasen
Conozco ese lugar,sono basho o shitteimasu
No lo sé,shirimasen
Lo recuerdo,oboeteimasu
Lo olvidé,wasuremashita
Entro en el dojo,doujou ni hairimasu
Salgo de casa,ie o demasu
Me siento aquí,koko ni suwarimasu
Me pongo de pie,tachimasu
Uso esto,kore o tsukaimasu
Lo intento,yatte mimasu
Ayudo,tetsudaimasu
Estudio japonés,nihongo o benkyou shimasu
Quiero comer ramen,ramen o tabetai desu
Quiero beber agua,mizu o nomitai desu
Quiero ir a Japón,Nihon ni ikitai desu
Hoy entrené,kyou renshuu shimashita
Mañana entreno,ashita renshuu shimasu
Casa,ie
Habitación,heya
Lavabo / WC,toire
Coche,kuruma
Tren,densha
Estación,eki
Tienda,mise
Restaurante,resutoran
Hotel,hoteru
Camino / calle,michi
Lugar,basho
Japón,Nihon
España,Supein
Familia,kazoku
Mi padre,chichi
Mi madre,haha
Padre / papá,otousan
Madre / mamá,okaasan
Amigo,tomodachi
Persona,hito
Comida,tabemono
Bebida,nomimono
Agua,mizu
Té,ocha
Café,koohii
Arroz / comida,gohan
Carne,niku
Pescado,sakana
Verduras,yasai
Fruta,kudamono
Cerveza,biiru
Dinero,okane
Trabajo,shigoto
Tiempo / hora,jikan
Japonés (idioma),nihongo
Mañana (parte del día),asa
Mediodía,hiru
Tarde,gogo
Atardecer / vespre,yuugata
Noche,yoru
Hoy,kyou
Mañana,ashita
Ayer,kinou
Esta semana,konshuu
Fin de semana,shuumatsu
Está bien / es bueno,ii desu
Malo,warui
Grande,ookii
Pequeño,chiisai
Nuevo,atarashii
Viejo,furui
Hace calor,atsui desu
Hace frío,samui desu
Está caliente,atsui desu
Está frío,tsumetai desu
Rápido,hayai
Lento,osoi
Difícil,muzukashii
Fácil / sencillo,kantan
Interesante,omoshiroi
Divertido,tanoshii
Delicioso,oishii
Bonito / limpio,kirei
Tranquilo,shizuka
Ruidoso,urusai
Fuerte,tsuyoi
Débil,yowai
Estoy cansado,tsukareteimasu
Tengo sueño,nemui desu
Tengo hambre,onaka ga sukimashita
Tengo sed,nodo ga kawakimashita
Estoy bien,genki desu
Estoy ocupado,isogashii desu
Estoy libre,hima desu
Estoy contento,ureshii desu
Derecha,migi
Izquierda,hidari
Delante,mae
Detrás,ushiro
Arriba,ue
Abajo,shita
Dentro,naka
Fuera,soto
Mano,te
Brazo,ude
Pierna / pie,ashi
Cabeza,atama
Cara,kao
Ojo,me
Espalda,senaka
Cuerpo,karada
Puño,kobushi
Rodilla,hiza
Cadera,koshi
Hombro,kata
Cuello,kubi
Dojo,doujou
Maestro,sensei
Despacio,yukkuri
Más fuerte,motto tsuyoku
Buenos días,ohayou gozaimasu
Hola / buenas tardes,konnichiwa
Buenas noches,konbanwa
Gracias,arigatou gozaimasu
Muchas gracias,doumo arigatou gozaimasu
Disculpa / perdón,sumimasen
Lo siento,gomennasai
Por favor,onegaishimasu
Encantado,hajimemashite
Mucho gusto,yoroshiku onegaishimasu
Sí,hai
No,iie
Entendido,wakarimashita
No entiendo,wakarimasen
"Espera un momento, por favor",chotto matte kudasai
"Otra vez, por favor",mou ichido onegaishimasu
"Más despacio, por favor",motto yukkuri onegaishimasu
¿Qué significa?,dou iu imi desu ka?
¿Cómo se dice en japonés?,nihongo de nan to iimasu ka?
Está bien / no pasa nada,daijoubu desu
¿Estás bien?,daijoubu desu ka?
Qué bien,ii desu ne
Qué rico,oishii desu ne
Qué interesante,omoshiroi desu ne
¿De verdad?,hontou desu ka?
También hago karate,karate mo shimasu
Pero está bien,demo daijoubu desu
Porque estoy cansado,tsukareteimasu kara
Por eso entreno,dakara renshuu shimasu
Con un amigo,tomodachi to
Hablo un poco de japonés,nihongo o chotto hanashimasu
Como mucho,takusan tabemasu
Muy interesante,totemo omoshiroi desu
No mucho,amari
Siempre entreno,itsumo renshuu shimasu
Entreno a menudo,yoku renshuu shimasu
A veces entreno,tokidoki renshuu shimasu
Todavía estoy cansado,mada tsukareteimasu
Ya estoy bien,mou daijoubu desu
Quizá voy,tabun ikimasu
Entrenamos juntos,issho ni renshuu shimasu
Aquí,koko
Ahí,soko
Allí,asoko
Ahora,ima
¿Qué?,nani?
¿Quién?,dare?
¿Dónde?,doko?
¿Cuándo?,itsu?
¿Por qué?,doushite?
¿Cómo?,dou?
¿Cuál?,dore?
¿Cuánto cuesta?,ikura desu ka?
¿Qué es esto?,kore wa nan desu ka?
¿Dónde está el baño?,toire wa doko desu ka?
¿Dónde está el dojo?,doujou wa doko desu ka?
¿Qué haces?,nani o shimasu ka?
¿Adónde vas?,doko ni ikimasu ka?
¿Qué quieres comer?,nani o tabetai desu ka?
¿Qué quieres beber?,nani o nomitai desu ka?
¿Te gusta?,suki desu ka?
¿Te gusta el karate?,karate ga suki desu ka?
¿Puedo hacerlo?,yatte mo ii desu ka?
¿Puedo entrar?,haitte mo ii desu ka?
¿Puedo usar esto?,kore o tsukatte mo ii desu ka?
Bolso,kaban
Paraguas,kasa
Aeropuerto,kuukou
Esto,kore
Eso,sore
Metro,chikatetsu
Zapatos,kutsu
Gorro / sombrero,boushi
Billete,kippu
Universidad,daigaku
Estudiante,gakusei
Estados Unidos,Amerika
Español / persona española,Supeinjin
Abogado,bengoshi
Médico,isha
Guante,tebukuro
Abrigo,kooto
Blanco,shiroi
Rojo,akai
Negro,kuroi
Pizza,piza
Ensalada,sarada
Soy de Osaka,Oosaka shusshin desu
Pueblo / localidad,machi
Ciudad,toshi
Animado / concurrido,nigiyaka
¿Qué hora?,nanji
Mapa,chizu
¿Cómo te llamas?,onamae wa? / onamae wa nan desu ka?
Vivo en un pueblo pequeño,watashi wa chiisai machi ni sundeimasu
Televisión,terebi
A menudo,yoku
Libro,hon
Leo un libro,hon o yomimasu
Revista,zasshi
Noticias,nyuusu
A menudo escucho música,yoku ongaku o kikimasu
A veces,tokidoki
Béisbol,yakyuu
¿Juegas al fútbol?,sakkaa o shimasu ka?
Película,eiga
Rock,rokku
Buen trabajo / gracias por el esfuerzo,otsukaresama deshita
Gracias por la comida (después de comer),gochisousama deshita
Antes de comer,itadakimasu
Cuídate / ten cuidado,ki o tsukete
Con permiso / disculpe (antes de entrar o interrumpir),shitsurei shimasu
Disculpe la molestia / con permiso (al terminar o marcharse),shitsurei shimashita
Bienvenido a casa,okaerinasai
Ya he vuelto / estoy en casa,tadaima
Me voy / hasta luego (al salir de casa),ittekimasu
Que te vaya bien (a quien sale),itterasshai
Hasta luego / nos vemos,mata ne
Todos los días,mainichi
Cada mañana,maiasa
Cada tarde,maihiru
Cada noche,maiban
Curry,karee
Desayunar,asagohan o tabemasu
Almorzar,hirugohan o tabemasu
Cenar,bangohan o tabemasu
Importante,daiji
Zumo,juusu
Anteayer,ototoi
Pasado mañana,asatte
Mañana jugaré a tenis,ashita tenisu o shimasu
Pasado mañana tendré una reunión,asatte kaigi o shimasu
Ayer fui de fiesta,kinou paatii o shimashita
Anteayer no hice jogging,ototoi jogingu o shimasen deshita
Hacer compras,kaimono o shimasu
Ayer vi una película con amigos en Times Square,kinou Times Square de tomodachi to eiga o mimashita
Hoy voy a entrenar en el dojo con Júlia,kyou doujou de Juria to renshuu o shimasu
Ropa,fuku
Cartera,saifu
Este / esta (antes de un sustantivo),kono
Camiseta,tiishatsu
Falda,sukaato
Azul,aoi
Lindo / mono,kawaii
Corbata,nekutai
Barato,yasui
Caro / alto,takai
¿Cuánto cuesta esta cartera?,kono saifu wa ikura desu ka?
Cuatrocientos,yonhyaku
Chaqueta,jaketto
Cuatro mil,yonsen
